"year","acousticness","danceability","energy","instrumentalness","liveness","loudness","mode","speechiness","valence","popularity","genre","duration_min","duration_sec"
2012,17.8,55.8,87.2,0,17.3,-4.401,"major",4.49,47.2,68,"country",3,34
2013,83.6,48.3,43.1,0.00519,19.9,-7.656,"major",3.43,29.6,67,"country",3,23
2021,6.49,49.4,77.1,0,11,-4.309,"major",6.26,37.1,59,"country",3,48
2019,12.7,72.8,68.2,0,33.7,-3.749,"major",21.8,64.3,71,"country",3,20
2020,6.49,48.4,90.3,0,15.1,-3.9,"minor",8.82,71.6,52,"country",3,7
1993,7.26,70.3,99.7,2.35,12.3,-7.666,"minor",3.99,39.1,72,"hip",4,17
1960,62.9,54.8,57.5,9.37,14.1,-6.639,"major",3.48,54.1,0,"other",2,34
2005,0.121,35.2,91.1,0,9.95,-5.23,"major",7.47,23.6,88,"rock",3,43
2005,0.245,53.9,70.2,0.00237,11.7,-7.291,"major",4.36,20.6,75,"rock",5,2
2015,2.23,67.2,59.3,0,21.4,-4.01,"minor",3.04,43.8,68,"pop",3,49
2016,0.795,75.7,88.4,0.00587,9.73,-5.488,"minor",4.04,39.8,59,"pop",3,38
2016,1.47,81.1,49.9,0.000244,34.2,-7.161,"minor",11.8,46.6,67,"pop",3,21
1982,19.5,63.2,79.1,0.00104,35.3,-6.856,"minor",3.13,80.4,52,"classic",4,5
1984,59,41.5,17.5,0,19.8,-15.999,"major",2.75,26.6,42,"classic",4,34
1985,9.83,39.7,77.6,0.000409,18.9,-6.339,"major",3.81,12.7,71,"rock",4,0
1985,0.156,38.6,94.8,0.000119,43.4,-4.371,"major",7.96,59.7,62,"rock",3,27
1991,9.83,39.7,77.6,0.000409,18.9,-6.339,"major",3.81,12.7,71,"rock",4,0
2019,3.88,93.2,54.7,0,9.24,-7.787,"minor",33.3,69.5,72,"rap",2,57
1966,73.2,50.2,75.6,0,34,-4.208,"major",3.59,70,30,"classic",2,27
1973,6.56,64.8,51.6,0.000185,4.52,-10.272,"major",6.91,92.2,23,"rock",3,41
1963,73.6,64.8,54.9,0.00267,53,-8.927,"major",5.77,75.8,25,"pop",2,4
1969,41,51.7,59,7.2,17.8,-7.468,"major",3.36,68.1,51,"pop",2,57
1966,66,64.9,83.4,0,5.79,-10.97,"major",7.38,71.5,13,"pop",3,4
1979,12.5,75.9,88.9,0,4.1,-10.592,"minor",5.02,88.6,40,"pop",3,46
1998,0.854,70.2,89.8,0.0154,9.17,-6.003,"major",3.73,73.1,70,"pop",2,50
2000,17.4,62.7,45.1,0,6.34,-9.462,"major",2.75,29.1,39,"country",4,6
1978,5.59,87.8,61.1,83.8,5.27,-12.221,"major",11.8,71.8,42,"other",6,37
2018,0.381,79.9,57.9,0,36.7,-5.144,"minor",4.87,36.3,0,"pop",3,23
2013,93.2,61.2,28,0,8.8,-8.648,"major",4.34,38.7,91,"pop",3,34
2012,4.9,72.6,69.8,0,30.9,-4.165,"major",4.31,86.7,91,"pop",3,53
2017,1.3,85.3,56,0,9.44,-4.961,"major",4.06,86,89,"pop",3,27
2013,44.5,71.7,54.4,0.000516,9.73,-6.598,"major",3.71,64.1,68,"pop",4,4
