id,name
7H6dkUChT5EoOQtUVMg4cN,Hunter Hayes
3KV3p5EY4AvKxOlhGHORLg,Jeremih
0YWxKQj2Go9CGHCp77UOyy,Fabolous
4VnomLtKTm9Ahe1tZfmZju,Jackie Wilson
7crPfGd2k81ekOoSqQKWWz,Stevie Nicks
7bu3H8JO7d0UbMoVzbo70s,The Cure
1R6Hx1tJ2VOUyodEpC12xM,Jim Croce
6PAt558ZEZl0DmdXlnjMgD,Eric Clapton
01W8kYNqFHyKicPfR0pLwO,England Dan & John Ford Coley
1mYvu9huHeR7ho3iGAgCsn,The Dynamics
1co4F2pPNH8JjTutZkmgSm,Ramones
3HC7NcxQx2Yk0fWoRKJ0xF,Jefferson Starship
7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield
53QzNeFpzAaXYnrDBbDrIp,The Isley Brothers
6qI4LTzMRpTxRzMZPvv2C6,Peaches & Herb
2gdX1GbQ8sljsTVwDaIpkc,Nu Flavor
4nQSjiDD7asXlRBCD1uqWA,Steve McDonald
2kCO8LXN1usaOPL3iEE28I,Tai Verdes
1mfDfLsMxYcOOZkzBxvSVW,Cole Swindell
55qiaow2sDYtjqu1mwRua6,New Kids On The Block
5jit9WjiAxxvdA0onOHBLd,Daryl Hall
1sXbwvCQLGZnaH0Jp2HTVc,Linda Ronstadt
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert
3gMaNLQm7D9MornNILzdSl,Lionel Richie
3qbnxnvUqR14MJ9g8QwZJK,Lonestar
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar
4PI5IHRvANLL76O5gRmGKL,Blue Cheer
0543y7yrvny4KymoaneT4W,Peter Frampton
1FizW0swe8ODtXvEOHXbHX,LFO
3aVoqlJOYx31lH1gibGDt3,Babyface
2cnMpRsOVqtPMfq7YiFE6K,Van Halen
3sFhA6G1N0gG1pszb6kk1m,Wings
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac
319yZVtYM9MBGqmSQnMyY6,Carole King
7arQA31aZVS8yS6zUveWzb,CJ
2FMZn5P3WATd7Il6FgPJNu,Buck Owens
5pBljwfwnohfSNDXixEYHm,Mary Hopkin
